Gender,Age,Exercise_importance,Fitness_level,Regularity,Barriers,Exercises,Do_you,Time,Time_spent,Balanced_diet,prevents_balanced,Health_level,Recommend_fitness,Equipment,Motivation
1,19 to 25,2,3,0.0,I don't have enough time;I can't stay motivated,I don't really exercise,I don't really exercise,3,0.0,1,Ease of access to fast food;Temptation and cravings,3,Yes,0,I'm sorry ... I'm not really interested in exercising
1,19 to 25,4,4,0.0,I don't have enough time;I'll become too tired,Walking or jogging;Swimming,With a group,3,0.0,1,Ease of access to fast food;Temptation and cravings,4,Yes,0,I want to be fit;I want to be flexible;I want to relieve stress;I'm sorry ... I'm not really interested in exercising
1,19 to 25,3,1,0.0,I can't stay motivated,I don't really exercise,I don't really exercise,2,0.0,2,Ease of access to fast food;Temptation and cravings,4,Yes,0,I want to be fit
0,19 to 25,5,1,3.5,I don't have enough time;I can't stay motivated;I'll become too tired;I don't really enjoy exercising,Gym;Team sport,With a friend,2,1.0,0,Temptation and cravings,2,Yes,0,I want to be fit;I want to increase muscle mass and strength;I want to lose weight
0,19 to 25,5,1,3.5,I don't have enough time,Walking or jogging,Alone,3,2.0,0,Temptation and cravings,4,Yes,1,I want to be fit;I want to increase muscle mass and strength;I want to lose weight
0,19 to 25,5,2,1.5,I don't have enough time;I'll become too tired;I have an injury,Walking or jogging,Alone,2,0.5,0,Ease of access to fast food;Temptation and cravings,3,Yes,1,I want to be fit;I want to increase muscle mass and strength;I want to lose weight;I want to be flexible;I want to relieve stress;I want to achieve a sporting goal;Doing exercises prevents many diseases.So yeah saves a lot of money .
0,19 to 25,3,1,0.0,I don't have enough time;I can't stay motivated;I'll become too tired;I have an injury,Walking or jogging,Alone,3,1.0,1,Temptation and cravings,1,No,1,I want to be fit;I want to increase muscle mass and strength;I want to lose weight;I want to be flexible;I want to relieve stress
0,19 to 25,4,2,2.5,I don't have enough time;I'll become too tired,Walking or jogging;Gym,Alone,3,0.5,1,Cost;Ease of access to fast food,2,No,0,I want to be fit;I want to lose weight
0,19 to 25,4,3,0.0,I don't have enough time;I'll become too tired,Walking or jogging;I don't really exercise,Alone,2,0.0,0,Lack of time,3,Yes,0,I want to be fit
0,19 to 25,3,2,3.5,I don't really enjoy exercising,Team sport,With a group,2,2.0,1,Lack of time,2,No,1,I want to relieve stress;I want to achieve a sporting goal
0,19 to 25,3,3,1.5,I can't stay motivated,Walking or jogging;I don't really exercise,Alone,3,0.5,2,Lack of time,4,No,0,I want to be fit;I want to be flexible;I want to relieve stress
1,19 to 25,3,2,1.5,I don't have enough time,Yoga,Alone,3,1.0,1,Temptation and cravings,4,No,0,I want to relieve stress
1,19 to 25,4,3,3.5,I don't have enough time,Yoga,Alone,3,0.5,2,Temptation and cravings,4,Yes,0,I want to be flexible
1,19 to 25,3,2,1.5,I don't have enough time;I can't stay motivated,Walking or jogging;Yoga,Alone,3,0.5,1,Temptation and cravings,3,Yes,0,I want to be fit;I want to lose weight
1,19 to 25,3,2,3.5,I can't stay motivated;I'll become too tired,Gym,Alone,3,0.5,0,Ease of access to fast food,3,Yes,0,I want to be fit;I want to lose weight
0,19 to 25,4,1,1.5,I don't have enough time;I can't stay motivated,Yoga,Alone,3,0.5,1,Ease of access to fast food,3,Yes,1,I want to be fit;I want to increase muscle mass and strength
1,19 to 25,3,2,7.0,I don't have enough time,Gym;Swimming,With a friend,2,1.0,1,Temptation and cravings,3,Yes,0,I want to lose weight
0,19 to 25,4,3,2.5,I don't have enough time;I can't stay motivated,Gym,Alone,3,1.0,1,Ease of access to fast food;Temptation and cravings,3,Yes,0,I want to be fit;I want to lose weight;I want to be flexible
0,19 to 25,5,4,5.5,I don't have enough time;I exercise regularly with no barriers,Gym;Lifting weights;Team sport,Alone,3,1.0,2,Temptation and cravings,4,Yes,1,I want to be fit;I want to increase muscle mass and strength;I want to be flexible;I want to relieve stress;I want to achieve a sporting goal
0,19 to 25,5,2,7.0,I don't have enough time,Gym,With a friend,2,2.0,1,Temptation and cravings,3,Yes,1,I want to be fit
1,19 to 25,4,1,1.5,I don't have enough time,Walking or jogging,Alone,2,0.5,0,Temptation and cravings,2,Yes,1,I want to be fit
1,19 to 25,4,2,1.5,I don't really enjoy exercising,Walking or jogging,Alone,2,0.5,1,Ease of access to fast food,3,Yes,0,I want to be fit;I want to relieve stress
1,19 to 25,2,3,0.0,I don't have enough time;I don't really enjoy exercising,I don't really exercise,Alone,3,0.0,1,Ease of access to fast food;Temptation and cravings,3,Yes,1,I want to be fit;I want to lose weight
0,19 to 25,3,5,2.5,I don't have enough time,Walking or jogging;Swimming;Lifting weights,Alone,3,0.5,2,Lack of time,4,No,0,I want to be fit
1,19 to 25,5,2,2.5,I can't stay motivated;I'll become too tired,Walking or jogging;Gym;Yoga,Alone,3,1.0,1,Lack of time,3,Yes,1,I want to be fit;I want to lose weight;I want to be flexible;I want to relieve stress
1,19 to 25,4,3,2.5,I don't have enough time;I can't stay motivated,Walking or jogging;Yoga,Alone,3,0.5,1,Ease of access to fast food;Temptation and cravings,3,No,1,I want to be fit;I want to lose weight;I want to be flexible
1,19 to 25,4,3,1.5,I can't stay motivated,Walking or jogging;Zumba dance;Team sport,With a friend,2,0.5,1,Ease of access to fast food,3,Yes,0,I want to be fit
0,19 to 25,4,2,5.5,I don't have enough time;I can't stay motivated,Walking or jogging;Gym,With a friend,2,1.0,2,Ease of access to fast food;Temptation and cravings,2,Yes,0,I want to be fit;I want to increase muscle mass and strength;I want to lose weight;I want to relieve stress
1,19 to 25,4,2,1.5,I don't have enough time,Yoga,Alone,2,0.5,1,Temptation and cravings,4,Yes,1,I want to be fit;I want to lose weight;I want to be flexible
0,19 to 25,3,3,3.5,I'll become too tired,Gym;Swimming;Lifting weights,With a friend,3,1.0,1,Lack of time;Ease of access to fast food,3,Yes,0,I want to be fit;I want to lose weight;I want to relieve stress
1,19 to 25,4,3,5.5,I am lazy,Team sport,With a group,3,1.0,2,Temptation and cravings,4,Yes,0,I want to be fit;I want to lose weight;I want to be flexible;I want to achieve a sporting goal
1,19 to 25,3,3,1.5,I can't stay motivated,Walking or jogging,Alone,2,0.5,1,Lack of time;Ease of access to fast food;Temptation and cravings,3,Yes,0,I want to be fit;I want to be flexible
1,19 to 25,4,2,2.5,I can't stay motivated,Walking or jogging,Alone,3,0.5,1,Temptation and cravings,4,Yes,0,I want to be fit;I want to lose weight;I want to be flexible
0,19 to 25,2,1,0.0,I don't have enough time;I can't stay motivated;I don't really enjoy exercising,Team sport;I don't really exercise,I don't really exercise,2,0.0,2,Ease of access to fast food;Temptation and cravings,4,No,0,I want to increase muscle mass and strength;I'm sorry ... I'm not really interested in exercising
0,19 to 25,5,3,7.0,I have an injury,Team sport,Alone,3,2.0,2,Temptation and cravings,4,Yes,0,I want to be fit;I want to lose weight;I want to relieve stress
0,19 to 25,5,2,0.0,I don't have enough time,Walking or jogging,With a friend,3,1.0,0,Temptation and cravings,4,Yes,0,I want to lose weight
1,19 to 25,3,2,0.0,I don't have enough time;I can't stay motivated,I don't really exercise,I don't really exercise,3,0.0,0,Ease of access to fast food,3,Yes,0,I want to relieve stress
0,19 to 25,5,3,7.0,I exercise regularly with no barriers,Team sport,Alone,3,0.5,1,Ease of access to fast food,4,Yes,0,I want to lose weight
1,19 to 25,3,3,0.0,I can't stay motivated;Laziness ,Walking or jogging;I don't really exercise,I don't really exercise,3,0.0,1,Ease of access to fast food;Temptation and cravings,4,No,0,I want to be fit;I want to be flexible;To maintain healthy body and mind
1,19 to 25,3,3,1.5,I can't stay motivated;I'll become too tired,Yoga,Alone,3,0.5,1,Ease of access to fast food;Temptation and cravings,3,Yes,1,I want to be flexible;I want to relieve stress
0,19 to 25,5,2,1.5,I don't have enough time;I can't stay motivated,Walking or jogging;Lifting weights,Alone,2,0.5,0,Ease of access to fast food;Temptation and cravings,3,No,1,I want to be fit;I want to increase muscle mass and strength
1,19 to 25,3,2,5.5,I can't stay motivated,Yoga,With a friend,3,0.0,0,Ease of access to fast food;Temptation and cravings,5,Yes,0,I want to be flexible
1,19 to 25,4,3,7.0,I exercise regularly with no barriers,Walking or jogging;Team sport,Alone,2,2.0,2,Temptation and cravings,4,Yes,1,I want to be fit
1,19 to 25,5,1,1.5,I can't stay motivated,Gym,Alone,3,1.0,1,Temptation and cravings,3,Yes,1,I want to lose weight
1,19 to 25,3,2,0.0,I can't stay motivated;I don't really enjoy exercising,I don't really exercise,I don't really exercise,3,0.0,1,Temptation and cravings,3,No,0,I want to be fit;I want to increase muscle mass and strength;I want to lose weight;I'm sorry ... I'm not really interested in exercising
0,19 to 25,4,2,2.5,I don't have enough time,Walking or jogging;Gym,Alone,2,1.0,1,Lack of time;Cost,2,No,1,I want to be fit;I want to lose weight
1,19 to 25,4,1,1.5,I don't have enough time,Swimming,Alone,2,0.0,1,Lack of time,3,No,1,I want to be fit;I want to lose weight;I want to relieve stress
